task,width,noise,control,policy,seeds,auc_mean,off_rmse_q0,off_rmse_q8,same_rmse_q8
C,0,0,constrained,augmented_qbc,5,0.06551804301765049,1.0482886882824012,4.087129306017453e-16,2.961665564700296e-16
C,0,0,constrained,diversified_qbc,5,0.06551804301765049,1.0482886882824012,4.241331802087099e-16,3.0668791385666207e-16
C,0,0,constrained,qbc,5,0.06551804301765045,1.0482886882824012,5.27060174274683e-16,3.8348446741012227e-16
C,0,0,constrained,random,5,0.06551804301765045,1.0482886882824012,3.0688518744015023e-16,2.1863959572570792e-16
C,0,0,constrained,regularized_d_optimal,5,0.06551804301765045,1.0482886882824012,4.2157624627779603e-16,3.036507906115032e-16
C,0,0,independent_inputs,augmented_qbc,5,3.425918204881542e-16,4.048275283666166e-16,4.195147346775642e-16,4.1431075568742846e-16
C,0,0,independent_inputs,diversified_qbc,5,3.425918204881542e-16,4.048275283666166e-16,4.195147346775642e-16,4.1431075568742846e-16
C,0,0,independent_inputs,qbc,5,3.425918204881542e-16,4.048275283666166e-16,4.195147346775642e-16,4.1431075568742846e-16
C,0,0,independent_inputs,random,5,3.420398455701112e-16,4.048275283666166e-16,4.144860283336433e-16,4.0692988614143347e-16
C,0,0,independent_inputs,regularized_d_optimal,5,3.615143466777179e-16,4.048275283666166e-16,3.763685633898016e-16,3.798021793780384e-16
C,0,0,matched_marginal_shuffle,augmented_qbc,5,3.940904274112843e-16,4.314609798891907e-16,3.736653431473955e-16,3.7402584409514493e-16
C,0,0,matched_marginal_shuffle,diversified_qbc,5,3.940904274112843e-16,4.314609798891907e-16,3.736653431473955e-16,3.7402584409514493e-16
C,0,0,matched_marginal_shuffle,qbc,5,3.940904274112843e-16,4.314609798891907e-16,3.736653431473955e-16,3.7402584409514493e-16
C,0,0,matched_marginal_shuffle,random,5,3.504374317888309e-16,4.314609798891907e-16,2.6301754558221966e-16,2.6152332979104297e-16
C,0,0,matched_marginal_shuffle,regularized_d_optimal,5,3.351246178999557e-16,4.314609798891907e-16,3.3645834788369756e-16,3.3466894855608287e-16
C,0,0,surface_restricted_queries,augmented_qbc,5,0.8612473437263535,1.1412508607499028,0.6859565393642962,3.3481997232617045e-16
C,0,0,surface_restricted_queries,diversified_qbc,5,0.9015551160333903,1.1412508607499028,0.9030257286067249,2.244755755032301e-16
C,0,0,surface_restricted_queries,qbc,5,0.8612473437263535,1.1412508607499028,0.6859565393642962,3.3481997232617045e-16
C,0,0,surface_restricted_queries,random,5,0.8700828618957821,1.1412508607499028,0.7639496964722864,3.2327077057149145e-16
C,0,0,surface_restricted_queries,regularized_d_optimal,5,0.8907682303760653,1.1412508607499028,0.8815676361563558,3.310271721790718e-16
C,0,0.01,constrained,augmented_qbc,5,0.07093834279092054,0.995105991590024,0.003450939387230752,0.0019163972968063315
C,0,0.01,constrained,diversified_qbc,5,0.07146618259585996,0.995105991590024,0.003276928941198242,0.0018401463495764346
C,0,0.01,constrained,qbc,5,0.07093834279092054,0.995105991590024,0.003450939387230752,0.0019163972968063315
C,0,0.01,constrained,random,5,0.08986954735763722,0.995105991590024,0.011077889191364335,0.0023490773345262498
C,0,0.01,constrained,regularized_d_optimal,5,0.07101584795081782,0.995105991590024,0.003840122848779216,0.0020112160996010693
C,0,0.01,independent_inputs,augmented_qbc,5,0.0017728172970009654,0.0014159668513625907,0.001903925371576362,0.0018939829747305046
C,0,0.01,independent_inputs,diversified_qbc,5,0.001455160295697131,0.0014159668513625907,0.0017451926213634416,0.0017714168800751242
C,0,0.01,independent_inputs,qbc,5,0.0017728172970009654,0.0014159668513625907,0.001903925371576362,0.0018939829747305046
C,0,0.01,independent_inputs,random,5,0.0021815910022746393,0.0014159668513625907,0.002713001920183281,0.0027271991860901754
C,0,0.01,independent_inputs,regularized_d_optimal,5,0.001770525619426586,0.0014159668513625907,0.0016732703342113968,0.001669159446754987
C,0,0.01,matched_marginal_shuffle,augmented_qbc,5,0.0024856688950396677,0.0019216730577132565,0.0021835592149538428,0.002194379398066636
C,0,0.01,matched_marginal_shuffle,diversified_qbc,5,0.0025215713232604013,0.0019216730577132565,0.002594478149451411,0.002603553695537194
C,0,0.01,matched_marginal_shuffle,qbc,5,0.0024856688950396677,0.0019216730577132565,0.0021835592149538428,0.002194379398066636
C,0,0.01,matched_marginal_shuffle,random,5,0.002663787027678231,0.0019216730577132565,0.002582347323491903,0.0025647112758788145
C,0,0.01,matched_marginal_shuffle,regularized_d_optimal,5,0.0025311417318930737,0.0019216730577132565,0.0023204392282228726,0.002326429392194287
C,0,0.01,surface_restricted_queries,augmented_qbc,5,2.1032748030457395,1.236512091779201,0.7592219772613406,0.002253432875637483
C,0,0.01,surface_restricted_queries,diversified_qbc,5,2.1252235041903176,1.236512091779201,4.064308516287121,0.0019593544703898633
C,0,0.01,surface_restricted_queries,qbc,5,1.1835100373570782,1.236512091779201,1.2687255239871011,0.0019134475916195049
C,0,0.01,surface_restricted_queries,random,5,1.5596127406444846,1.236512091779201,2.2685179098705346,0.0027895100397856967
C,0,0.01,surface_restricted_queries,regularized_d_optimal,5,1.9314813342491992,1.236512091779201,1.602306073847624,0.001668468423913912
