task,width,noise,control,policy,seeds,auc_mean,off_rmse_q0,off_rmse_q8,same_rmse_q8
C,0,0,constrained,augmented_qbc,5,0.0674314880431558,1.0789038086904879,3.742125021318655e-16,2.735022727693817e-16
C,0,0,constrained,diversified_qbc,5,0.06743148804315584,1.0789038086904879,5.476532649914733e-16,3.9863518789631157e-16
C,0,0,constrained,qbc,5,0.06743148804315585,1.0789038086904879,2.9450160369137517e-16,2.1354007971461118e-16
C,0,0,constrained,random,5,0.06743148804315588,1.0789038086904879,5.110034280683917e-16,3.739980293071144e-16
C,0,0,constrained,regularized_d_optimal,5,0.06743148804315588,1.0789038086904879,4.320677068329885e-16,3.189505633028344e-16
C,0,0,independent_inputs,augmented_qbc,5,3.7309159484712854e-16,2.8490755058933326e-16,3.7882637694260957e-16,3.812011737060872e-16
C,0,0,independent_inputs,diversified_qbc,5,3.7309159484712854e-16,2.8490755058933326e-16,3.7882637694260957e-16,3.812011737060872e-16
C,0,0,independent_inputs,qbc,5,3.7309159484712854e-16,2.8490755058933326e-16,3.7882637694260957e-16,3.812011737060872e-16
C,0,0,independent_inputs,random,5,3.516926857628702e-16,2.8490755058933326e-16,4.371426915968337e-16,4.3548028787406243e-16
C,0,0,independent_inputs,regularized_d_optimal,5,3.8724960679073566e-16,2.8490755058933326e-16,4.4009696908218513e-16,4.401403199363854e-16
C,0,0,matched_marginal_shuffle,augmented_qbc,5,4.415490407326651e-16,4.0971971018733783e-16,5.711821939837941e-16,5.689384548368594e-16
C,0,0,matched_marginal_shuffle,diversified_qbc,5,4.415490407326651e-16,4.0971971018733783e-16,5.711821939837941e-16,5.689384548368594e-16
C,0,0,matched_marginal_shuffle,qbc,5,4.415490407326651e-16,4.0971971018733783e-16,5.711821939837941e-16,5.689384548368594e-16
C,0,0,matched_marginal_shuffle,random,5,4.869738534596118e-16,4.0971971018733783e-16,4.678126493909747e-16,4.638171333792587e-16
C,0,0,matched_marginal_shuffle,regularized_d_optimal,5,4.229585595769601e-16,4.0971971018733783e-16,3.1802462253459086e-16,3.1634360142747055e-16
C,0,0,surface_restricted_queries,augmented_qbc,5,0.806181138459876,0.8127461669395262,0.9907036830741827,3.0919206185990813e-16
C,0,0,surface_restricted_queries,diversified_qbc,5,0.7514656556986239,0.8127461669395262,0.683794754622706,3.225103159430966e-16
C,0,0,surface_restricted_queries,qbc,5,0.806181138459876,0.8127461669395262,0.9907036830741827,3.0919206185990813e-16
C,0,0,surface_restricted_queries,random,5,0.6750647880754894,0.8127461669395262,0.39791342271745356,2.4063672330694786e-16
C,0,0,surface_restricted_queries,regularized_d_optimal,5,0.7551289363461445,0.8127461669395262,0.6199682198431896,3.3286855396298454e-16
C,0,0.01,constrained,augmented_qbc,5,0.14882743111159344,1.3711574407701879,0.005949562419007948,0.002070322491601808
C,0,0.01,constrained,diversified_qbc,5,0.14666468561090168,1.3711574407701879,0.00351217319465926,0.0018834045012312086
C,0,0.01,constrained,qbc,5,0.1478837460719408,1.3711574407701879,0.005850714766314503,0.002059281118318191
C,0,0.01,constrained,random,5,0.14673931160263082,1.3711574407701879,0.012492795473836488,0.0018399756097266674
C,0,0.01,constrained,regularized_d_optimal,5,0.1477127063943188,1.3711574407701879,0.004069843367252096,0.0018030490365596203
C,0,0.01,independent_inputs,augmented_qbc,5,0.0024902045380137674,0.0019254731184316961,0.0018368978026838737,0.0018197458743361556
C,0,0.01,independent_inputs,diversified_qbc,5,0.002683178581392164,0.0019254731184316961,0.0018092374713863653,0.0018160290630955401
C,0,0.01,independent_inputs,qbc,5,0.0024902045380137674,0.0019254731184316961,0.0018368978026838737,0.0018197458743361556
C,0,0.01,independent_inputs,random,5,0.002314868528503682,0.0019254731184316961,0.0018224097018952477,0.0018616484007730923
C,0,0.01,independent_inputs,regularized_d_optimal,5,0.002313294639998387,0.0019254731184316961,0.0021240945410907932,0.0021298382507622376
C,0,0.01,matched_marginal_shuffle,augmented_qbc,5,0.002296000005274014,0.0016660627127241944,0.0017366861906880815,0.001718447423181582
C,0,0.01,matched_marginal_shuffle,diversified_qbc,5,0.0024642955875374987,0.0016660627127241944,0.002084832653420991,0.0021180608001953255
C,0,0.01,matched_marginal_shuffle,qbc,5,0.002296000005274014,0.0016660627127241944,0.0017366861906880815,0.001718447423181582
C,0,0.01,matched_marginal_shuffle,random,5,0.0020496678225702045,0.0016660627127241944,0.0022611266302449756,0.002264994422148933
C,0,0.01,matched_marginal_shuffle,regularized_d_optimal,5,0.002673279950992747,0.0016660627127241944,0.002286342651747459,0.0022958866780689704
C,0,0.01,surface_restricted_queries,augmented_qbc,5,1.9837284210755537,2.321600019767161,1.0015895133196262,0.0014392077424076545
C,0,0.01,surface_restricted_queries,diversified_qbc,5,1.4541654957177246,2.321600019767161,0.5791165541388821,0.0013836389801375319
C,0,0.01,surface_restricted_queries,qbc,5,1.9028945303185,2.321600019767161,0.9123006166527319,0.001331050945965985
C,0,0.01,surface_restricted_queries,random,5,1.6498728043285655,2.321600019767161,1.2050963308248464,0.0017037978299588308
C,0,0.01,surface_restricted_queries,regularized_d_optimal,5,1.3325222796896452,2.321600019767161,1.4790294110900077,0.0012110810960205202
C,0.01,0,constrained,augmented_qbc,5,4.62502404593308e-16,4.586339955897356e-16,4.022096699729365e-16,2.938613485321718e-16
C,0.01,0,constrained,diversified_qbc,5,3.962116835144445e-16,4.586339955897356e-16,3.609141110010428e-16,2.6396769411964474e-16
C,0.01,0,constrained,qbc,5,4.710956392574506e-16,4.586339955897356e-16,6.127647570470844e-16,4.459428446838249e-16
C,0.01,0,constrained,random,5,2.9379825116506624e-16,4.586339955897356e-16,3.620781792123336e-16,2.650955909717352e-16
C,0.01,0,constrained,regularized_d_optimal,5,3.444574043966207e-16,4.586339955897356e-16,3.771478204924976e-16,2.74462874692498e-16
C,0.01,0.01,constrained,augmented_qbc,5,0.012242353624233211,0.07213258420660208,0.0020149111606325614,0.0013851512968301083
C,0.01,0.01,constrained,diversified_qbc,5,0.012287431210600283,0.07213258420660208,0.003202558683299038,0.0014396102580862414
C,0.01,0.01,constrained,qbc,5,0.011682417101029796,0.07213258420660208,0.003310920017605843,0.0016884570121891089
C,0.01,0.01,constrained,random,5,0.0350840852710021,0.07213258420660208,0.009065631530903475,0.001294303473064561
C,0.01,0.01,constrained,regularized_d_optimal,5,0.012692966183327265,0.07213258420660208,0.0027132218543444563,0.001179443176028174
D,0,0,constrained,augmented_qbc,5,0.02974337137947449,0.47589394207158586,4.1762131588331717e-16,4.703781956883528e-16
D,0,0,constrained,diversified_qbc,5,0.029743371379474404,0.47589394207158586,2.476454114929695e-16,2.5908749296712827e-16
D,0,0,constrained,qbc,5,0.029743371379474498,0.47589394207158586,4.573965844287977e-16,5.206033567428678e-16
D,0,0,constrained,random,5,0.029743371379474415,0.47589394207158586,4.874691983334562e-16,5.63817352902416e-16
D,0,0,constrained,regularized_d_optimal,5,0.029743371379474425,0.47589394207158586,2.76437880927937e-16,2.7859083623515724e-16
D,0,0,independent_inputs,augmented_qbc,5,3.7498540313839135e-16,3.631056019836227e-16,2.5852722792421995e-16,2.597114291496943e-16
D,0,0,independent_inputs,diversified_qbc,5,3.7498540313839135e-16,3.631056019836227e-16,2.5852722792421995e-16,2.597114291496943e-16
D,0,0,independent_inputs,qbc,5,3.7498540313839135e-16,3.631056019836227e-16,2.5852722792421995e-16,2.597114291496943e-16
D,0,0,independent_inputs,random,5,3.562865919981305e-16,3.631056019836227e-16,2.9838166828671927e-16,2.9496884946217756e-16
D,0,0,independent_inputs,regularized_d_optimal,5,3.112779445223408e-16,3.631056019836227e-16,2.47375517398304e-16,2.4629030411724897e-16
D,0,0,matched_marginal_shuffle,augmented_qbc,5,3.6539316498226934e-16,3.653719577144185e-16,3.5365765076368415e-16,3.5725987549249467e-16
D,0,0,matched_marginal_shuffle,diversified_qbc,5,3.6539316498226934e-16,3.653719577144185e-16,3.5365765076368415e-16,3.5725987549249467e-16
D,0,0,matched_marginal_shuffle,qbc,5,3.6539316498226934e-16,3.653719577144185e-16,3.5365765076368415e-16,3.5725987549249467e-16
D,0,0,matched_marginal_shuffle,random,5,3.4948850475190567e-16,3.653719577144185e-16,3.3036868241487976e-16,3.295536223678968e-16
D,0,0,matched_marginal_shuffle,regularized_d_optimal,5,3.8172413105247274e-16,3.653719577144185e-16,2.7449950679929067e-16,2.75482466868492e-16
D,0,0,surface_restricted_queries,augmented_qbc,5,0.5888081639885735,0.4614441060159315,0.4624427710622693,3.496035799861023e-16
D,0,0,surface_restricted_queries,diversified_qbc,5,0.5768722381528806,0.4614441060159315,0.4624427710622693,3.0583167677269906e-16
D,0,0,surface_restricted_queries,qbc,5,0.5888081639885735,0.4614441060159315,0.4624427710622693,3.496035799861023e-16
D,0,0,surface_restricted_queries,random,5,0.5134667366955112,0.4614441060159315,0.7498820929720724,5.383517267455067e-16
D,0,0,surface_restricted_queries,regularized_d_optimal,5,0.3606720856287923,0.4614441060159315,0.35322633710895035,4.424682788352058e-16
D,0,0.01,constrained,augmented_qbc,5,0.13610138919270343,1.3467484935761973,0.0029263497446907574,0.001600636680355462
D,0,0.01,constrained,diversified_qbc,5,0.13412935366993112,1.3467484935761973,0.003711765987901144,0.0018008163858083872
