task,width,noise,control,policy,seeds,auc_mean,off_rmse_q0,off_rmse_q8,same_rmse_q8
B,0,0,constrained,augmented_qbc,5,0.08166812464184585,1.3066899942695223,7.918008628241127e-16,4.748682106820592e-16
B,0,0,constrained,diversified_qbc,5,0.08166812464184586,1.3066899942695223,7.189620884446516e-16,4.695956929863973e-16
B,0,0,constrained,qbc,5,0.08166812464184585,1.3066899942695223,7.918008628241127e-16,4.748682106820592e-16
B,0,0,constrained,random,5,0.1450716764679933,1.3066899942695223,6.368165741814098e-16,4.325095583054681e-16
B,0,0,constrained,regularized_d_optimal,5,0.08166812464184588,1.3066899942695223,9.573959660497643e-16,5.577788444205555e-16
B,0,0.01,constrained,augmented_qbc,5,0.2155814991247194,1.7372016017711716,0.0030443062217149846,0.0021131184150930188
B,0,0.01,constrained,diversified_qbc,5,0.2157372312462565,1.7372016017711716,0.002632849256422828,0.0018681551330381493
B,0,0.01,constrained,qbc,5,0.2155814991247194,1.7372016017711716,0.0030443062217149846,0.0021131184150930188
B,0,0.01,constrained,random,5,0.27094835915029136,1.7372016017711716,0.0052068922308092435,0.0019139177287552662
B,0,0.01,constrained,regularized_d_optimal,5,0.21558673098879644,1.7372016017711716,0.0026826871180866763,0.0020001881731622627
B,0.01,0,constrained,augmented_qbc,5,1.5609942278577103e-15,4.598647804023999e-15,5.979200885667552e-16,3.5896264064416906e-16
B,0.01,0,constrained,diversified_qbc,5,2.210184557683694e-15,4.598647804023999e-15,1.1120480876400143e-15,6.461998948734713e-16
B,0.01,0,constrained,qbc,5,2.210184557683694e-15,4.598647804023999e-15,1.1120480876400143e-15,6.461998948734713e-16
B,0.01,0,constrained,random,5,0.059358431400468536,4.598647804023999e-15,1.101499172542185e-15,6.421681959645078e-16
B,0.01,0,constrained,regularized_d_optimal,5,1.1104756873687044e-15,4.598647804023999e-15,8.200552626065161e-16,4.652736184416539e-16
B,0.01,0.01,constrained,augmented_qbc,5,0.007745867386195598,0.0670622986549874,0.0028488935407578403,0.0019470220515557986
B,0.01,0.01,constrained,diversified_qbc,5,0.00786442741715146,0.0670622986549874,0.00320532297134764,0.0021819947976997
B,0.01,0.01,constrained,qbc,5,0.007874149038088005,0.0670622986549874,0.0028488935407580416,0.0019470220515560657
B,0.01,0.01,constrained,random,5,0.01088882401032132,0.0670622986549874,0.007272232730166311,0.002159770885744855
B,0.01,0.01,constrained,regularized_d_optimal,5,0.007957325276199979,0.0670622986549874,0.002925444526858137,0.0020175434257553577
