task,width,noise,control,policy,seeds,auc_mean,off_rmse_q0,off_rmse_q8,same_rmse_q8
B,0,0,constrained,augmented_qbc,5,6.77240328660582e-16,6.266892817276612e-16,6.995943451275814e-16,4.2217797390287193e-16
B,0,0,constrained,diversified_qbc,5,7.936936784501605e-16,6.266892817276612e-16,7.753287537716361e-16,4.455804023674092e-16
B,0,0,constrained,qbc,5,7.936936784501605e-16,6.266892817276612e-16,7.753287537716361e-16,4.455804023674092e-16
B,0,0,constrained,random,5,7.747186577128501e-16,6.266892817276612e-16,1.0763798849617146e-15,6.347511179620097e-16
B,0,0,constrained,regularized_d_optimal,5,8.164625103818461e-16,6.266892817276612e-16,9.980379435907421e-16,5.902295824839446e-16
B,0,0.01,constrained,augmented_qbc,5,0.0037516626933960908,0.003399934464255505,0.002479314276896864,0.001562180664587548
B,0,0.01,constrained,diversified_qbc,5,0.003556194978007317,0.003399934464255505,0.003072359377145616,0.0019019487273140572
B,0,0.01,constrained,qbc,5,0.003940630993399849,0.003399934464255505,0.0029182863680611653,0.0017573982142602834
B,0,0.01,constrained,random,5,0.0063478988083388015,0.003399934464255505,0.004059280593136813,0.0019988599031387777
B,0,0.01,constrained,regularized_d_optimal,5,0.0035100612710759795,0.003399934464255505,0.0019719372554331573,0.001255894709644672
B,0.01,0,constrained,augmented_qbc,5,8.019139150308677e-16,1.1796730116855573e-15,7.102886654585098e-16,4.259401602865145e-16
B,0.01,0,constrained,diversified_qbc,5,7.311016785808396e-16,1.1796730116855573e-15,8.612938788334946e-16,5.114558477402912e-16
B,0.01,0,constrained,qbc,5,7.311016785808396e-16,1.1796730116855573e-15,8.612938788334946e-16,5.114558477402912e-16
B,0.01,0,constrained,random,5,8.98346576504643e-16,1.1796730116855573e-15,9.70893888878603e-16,5.538673474766359e-16
B,0.01,0,constrained,regularized_d_optimal,5,8.17866792202547e-16,1.1796730116855573e-15,8.215442304343659e-16,4.781975770067694e-16
B,0.01,0.01,constrained,augmented_qbc,5,0.0036337817658889182,0.005625069734163003,0.002620012680879756,0.0017126971855448044
B,0.01,0.01,constrained,diversified_qbc,5,0.003733900304274096,0.005625069734163003,0.0029873762484969443,0.0020293532710702563
B,0.01,0.01,constrained,qbc,5,0.0035508041419654393,0.005625069734163003,0.0027919233640504868,0.001999089742362698
B,0.01,0.01,constrained,random,5,0.007585025663732109,0.005625069734163003,0.0057737944940210615,0.00185527956522439
B,0.01,0.01,constrained,regularized_d_optimal,5,0.003982184859119558,0.005625069734163003,0.002905885551849269,0.001998557390408929
