task,width,noise,control,policy,seeds,auc_mean,off_rmse_q0,off_rmse_q8,same_rmse_q8
B,0,0,constrained,augmented_qbc,5,7.940853072484895e-16,6.026820220928488e-16,7.720446552566136e-16,4.4715859663678e-16
B,0,0,constrained,diversified_qbc,5,7.940853072484895e-16,6.026820220928488e-16,7.720446552566136e-16,4.4715859663678e-16
B,0,0,constrained,qbc,5,7.940853072484895e-16,6.026820220928488e-16,7.720446552566136e-16,4.4715859663678e-16
B,0,0,constrained,random,5,7.724438087062347e-16,6.026820220928488e-16,1.0825823906551463e-15,6.357172332433301e-16
B,0,0,constrained,regularized_d_optimal,5,6.392394521431525e-16,6.026820220928488e-16,6.501049304158727e-16,3.795833524601397e-16
B,0,0.01,constrained,augmented_qbc,5,0.001801159037585753,0.0014043103246559753,0.0020486240492410134,0.0013031826754628531
B,0,0.01,constrained,diversified_qbc,5,0.0021189808641804823,0.0014043103246559753,0.001216667651620133,0.000855744288116372
B,0,0.01,constrained,qbc,5,0.001801159037585753,0.0014043103246559753,0.0020486240492410134,0.0013031826754628531
B,0,0.01,constrained,random,5,0.0017104155249601616,0.0014043103246559753,0.0015853228415465535,0.0009932880756447627
B,0,0.01,constrained,regularized_d_optimal,5,0.002007685627348572,0.0014043103246559753,0.0017163581319582517,0.00113566932413556
B,0.01,0,constrained,augmented_qbc,5,7.358038701564105e-16,1.1839338183314221e-15,8.645761126580665e-16,5.12059552942575e-16
B,0.01,0,constrained,diversified_qbc,5,7.358038701564105e-16,1.1839338183314221e-15,8.645761126580665e-16,5.12059552942575e-16
B,0.01,0,constrained,qbc,5,7.358038701564105e-16,1.1839338183314221e-15,8.645761126580665e-16,5.12059552942575e-16
B,0.01,0,constrained,random,5,9.017429954939874e-16,1.1839338183314221e-15,9.750141917247807e-16,5.547550687972669e-16
B,0.01,0,constrained,regularized_d_optimal,5,9.83688393144924e-16,1.1839338183314221e-15,7.339064104291487e-16,4.2438677960002565e-16
B,0.01,0.01,constrained,augmented_qbc,5,0.0017974501197965057,0.0020434642837857562,0.0013334869449198768,0.0008477284995127172
B,0.01,0.01,constrained,diversified_qbc,5,0.0019984143036098447,0.0020434642837857562,0.0016562086500937026,0.001013876912543918
B,0.01,0.01,constrained,qbc,5,0.0017974501197965057,0.0020434642837857562,0.0013334869449198768,0.0008477284995127172
B,0.01,0.01,constrained,random,5,0.0018514646877143379,0.0020434642837857562,0.001524397150732964,0.0009881959966300904
B,0.01,0.01,constrained,regularized_d_optimal,5,0.0018014573571445854,0.0020434642837857562,0.0017585149355651025,0.001170068923410038
