task,width,noise,control,policy,seeds,auc_mean,off_rmse_q0,off_rmse_q8,same_rmse_q8
C,0,0.01,constrained,augmented_qbc,5,0.3618245950051105,0.9664073646140915,1.189445355196158,0.0018265186127429285
C,0,0.01,constrained,diversified_qbc,5,0.0655434955432061,0.9664073646140915,0.004246781768285711,0.0017494908437216202
C,0,0.01,constrained,qbc,5,0.3618245950051105,0.9664073646140915,1.189445355196158,0.0018265186127429285
C,0,0.01,constrained,random,5,0.36090802790890686,0.9664073646140915,0.05626594452806244,0.001332489039224029
C,0,0.01,constrained,regularized_d_optimal,5,0.07824685659515819,0.9664073646140915,0.006879668545355054,0.0016201497221639285
D,0,0.01,constrained,augmented_qbc,5,0.024124340375165452,0.34122078976005005,0.0026309679786960293,0.0015716774390364876
D,0,0.01,constrained,diversified_qbc,5,0.04624460116956448,0.34122078976005005,0.06893393402913013,0.002655293809659706
D,0,0.01,constrained,qbc,5,0.06320458834647494,0.34122078976005005,0.147956840621435,0.0017725184767562907
D,0,0.01,constrained,random,5,0.11246523473856951,0.34122078976005005,0.33979132460368205,0.003763271851015832
D,0,0.01,constrained,regularized_d_optimal,5,0.03473432098416804,0.34122078976005005,0.004348711661588089,0.002333616551963311
E,0,0.01,constrained,augmented_qbc,5,0.04812001473173518,0.731745614816223,0.002218065871109622,0.0010912220711374715
E,0,0.01,constrained,diversified_qbc,5,0.06044683820633227,0.731745614816223,0.002354917622774299,0.001881669035934861
E,0,0.01,constrained,qbc,5,0.04812001473173518,0.731745614816223,0.002218065871109622,0.0010912220711374715
E,0,0.01,constrained,random,5,0.06875049721210302,0.731745614816223,0.003423838942083538,0.001818225531575128
E,0,0.01,constrained,regularized_d_optimal,5,0.08958605149406726,0.731745614816223,0.0034419922977763813,0.0027083726948072236
F,0,0.01,constrained,augmented_qbc,5,0.023422374468939328,0.15398045727651102,0.004167001203100469,0.0020720397453276073
F,0,0.01,constrained,diversified_qbc,5,0.02581023660370953,0.15398045727651102,0.005166056256726883,0.00414266936705259
F,0,0.01,constrained,qbc,5,0.023422374468939328,0.15398045727651102,0.004167001203100469,0.0020720397453276073
F,0,0.01,constrained,random,5,0.08524759435530349,0.15398045727651102,0.00879536604800279,0.002634685775433822
F,0,0.01,constrained,regularized_d_optimal,5,0.01759600664929547,0.15398045727651102,0.003411044457520618,0.0020971918739176613
