task,width,noise,control,policy,seeds,auc_mean,off_rmse_q0,off_rmse_q8,same_rmse_q8
C,0,0.01,constrained,augmented_qbc,5,0.04811376883943587,0.720905652147515,0.002281886586890977,0.001456786213061724
C,0,0.01,constrained,diversified_qbc,5,0.04824726605771164,0.720905652147515,0.0027302944447056116,0.001519805238372559
C,0,0.01,constrained,qbc,5,0.047966708934878484,0.720905652147515,0.0021535599336442394,0.001248638017933959
C,0,0.01,constrained,random,5,0.07889149787634427,0.720905652147515,0.00801848172770871,0.0023439028999796318
C,0,0.01,constrained,regularized_d_optimal,5,0.04883647858649536,0.720905652147515,0.0032360695163648825,0.001406972172461474
C,0,0.01,independent_inputs,augmented_qbc,5,0.001855032218615106,0.0016399753350159918,0.0019350383595929427,0.0019345846829174017
C,0,0.01,independent_inputs,diversified_qbc,5,0.001970726128942633,0.0016399753350159918,0.001914956593843034,0.0019086690536928076
C,0,0.01,independent_inputs,qbc,5,0.001855032218615106,0.0016399753350159918,0.0019350383595929427,0.0019345846829174017
C,0,0.01,independent_inputs,random,5,0.0030887229894167832,0.0016399753350159918,0.004442644357771435,0.004393887715126028
C,0,0.01,independent_inputs,regularized_d_optimal,5,0.0023014333885248554,0.0016399753350159918,0.0018919318330451913,0.0019016135744534812
C,0,0.01,matched_marginal_shuffle,augmented_qbc,5,0.0016049969231247754,0.0012709211650001877,0.0014667076250945697,0.0014651291188865847
C,0,0.01,matched_marginal_shuffle,diversified_qbc,5,0.0019072412632410087,0.0012709211650001877,0.0016585086695876787,0.0016486984356868545
C,0,0.01,matched_marginal_shuffle,qbc,5,0.0016049969231247754,0.0012709211650001877,0.0014667076250945697,0.0014651291188865847
C,0,0.01,matched_marginal_shuffle,random,5,0.005516455092485129,0.0012709211650001877,0.002422341380412092,0.002429751392528586
C,0,0.01,matched_marginal_shuffle,regularized_d_optimal,5,0.0023814753416244133,0.0012709211650001877,0.0020650270508270714,0.0021051162095421074
C,0,0.01,surface_restricted_queries,augmented_qbc,5,0.755891958605178,0.6458501707027737,0.7457924318747254,0.0018374287864435519
C,0,0.01,surface_restricted_queries,diversified_qbc,5,0.5678043562484032,0.6458501707027737,0.5584495921185697,0.00125705872942576
C,0,0.01,surface_restricted_queries,qbc,5,0.7695941818862019,0.6458501707027737,0.7738090573254854,0.0022099142788299794
C,0,0.01,surface_restricted_queries,random,5,0.8702592164823676,0.6458501707027737,0.8816309624767559,0.0024552201930288964
C,0,0.01,surface_restricted_queries,regularized_d_optimal,5,0.644955783397364,0.6458501707027737,0.9459271519717616,0.0018441300915100628
C,0.01,0.01,constrained,augmented_qbc,5,0.02699393518405746,0.1702905106757207,0.002953804582084697,0.0016033319535317231
C,0.01,0.01,constrained,diversified_qbc,5,0.012681168024869304,0.1702905106757207,0.0018228023411197077,0.0017245587183914424
C,0.01,0.01,constrained,qbc,5,0.021782503518880468,0.1702905106757207,0.0025766151660616366,0.0013231894878557762
C,0.01,0.01,constrained,random,5,0.05123156377958678,0.1702905106757207,0.0072076787436420155,0.002601116553050238
C,0.01,0.01,constrained,regularized_d_optimal,5,0.01724719792101633,0.1702905106757207,0.014082737614291454,0.015396356659735544
D,0,0.01,constrained,augmented_qbc,5,0.03649284456733773,0.5203065864831542,0.0021580101148530617,0.0017564089676055847
D,0,0.01,constrained,diversified_qbc,5,0.0606386505680457,0.5203065864831542,0.0535979090690738,0.0011288919116252817
D,0,0.01,constrained,qbc,5,0.03651845465230103,0.5203065864831542,0.0022607790546553715,0.00207018860936713
D,0,0.01,constrained,random,5,0.03942728140419026,0.5203065864831542,0.0020754947032681852,0.0015031724782439294
D,0,0.01,constrained,regularized_d_optimal,5,0.037193888629222446,0.5203065864831542,0.0034894685819487313,0.002643260263608224
D,0,0.01,independent_inputs,augmented_qbc,5,0.001494982472350215,0.0013973033479012138,0.0022686569945882195,0.0022816195022424593
D,0,0.01,independent_inputs,diversified_qbc,5,0.0029814911753857265,0.0013973033479012138,0.0032509231875093606,0.0032970843495084834
D,0,0.01,independent_inputs,qbc,5,0.001494982472350215,0.0013973033479012138,0.0022686569945882195,0.0022816195022424593
D,0,0.01,independent_inputs,random,5,0.0029814711972113795,0.0013973033479012138,0.0021609264313049285,0.0021946421985765147
D,0,0.01,independent_inputs,regularized_d_optimal,5,0.0014956442693826607,0.0013973033479012138,0.0016357823111864856,0.0016317451764869962
D,0,0.01,matched_marginal_shuffle,augmented_qbc,5,0.002534652557093621,0.001034950224169809,0.001566008312143708,0.001504450433212743
D,0,0.01,matched_marginal_shuffle,diversified_qbc,5,0.0020089087760437026,0.001034950224169809,0.001454624911703135,0.0013769479040371987
D,0,0.01,matched_marginal_shuffle,qbc,5,0.002534652557093621,0.001034950224169809,0.001566008312143708,0.001504450433212743
D,0,0.01,matched_marginal_shuffle,random,5,0.0038321537306252886,0.001034950224169809,0.003620958861803838,0.0035268820631959063
D,0,0.01,matched_marginal_shuffle,regularized_d_optimal,5,0.0035540601750007027,0.001034950224169809,0.0032764779024604964,0.003095038752894414
D,0,0.01,surface_restricted_queries,augmented_qbc,5,0.45999602139971707,0.2955728715459446,0.5247438121675312,0.0016764635705548137
D,0,0.01,surface_restricted_queries,diversified_qbc,5,1.4874386954363885,0.2955728715459446,0.46612618020613433,0.0018837310348034423
D,0,0.01,surface_restricted_queries,qbc,5,0.49248331279482016,0.2955728715459446,0.6263849908857049,0.0018805146503938857
D,0,0.01,surface_restricted_queries,random,5,0.34946097164052964,0.2955728715459446,0.22680858366232942,0.0039328285530981074
D,0,0.01,surface_restricted_queries,regularized_d_optimal,5,0.8048217613354953,0.2955728715459446,0.8092811074809818,0.001933335951047311
D,0.01,0.01,constrained,augmented_qbc,5,0.003539614181198591,0.0008277474247724833,0.0019474823357958821,0.0011864575800599783
D,0.01,0.01,constrained,diversified_qbc,5,0.004330986252037943,0.0008277474247724833,0.003074319244265215,0.00222791889469204
