task,width,noise,control,policy,seeds,auc_mean,off_rmse_q0,off_rmse_q8,same_rmse_q8
A,0,0,constrained,augmented_qbc,3,0.018403966626842138,0.29446346602947193,2.770026505827632e-16,3.162697223195021e-16
A,0,0,constrained,diversified_qbc,3,0.018403966626842037,0.29446346602947193,4.380240178263978e-17,4.4822695949088775e-17
A,0,0,constrained,qbc,3,0.018403966626842044,0.29446346602947193,7.78875903734039e-17,8.697741471525205e-17
A,0,0,constrained,random,3,0.018403966626848414,0.29446346602947193,1.0237014372692897e-14,1.1700269872456949e-14
A,0,0,constrained,regularized_d_optimal,3,0.018403966626842096,0.29446346602947193,1.6359043963723828e-16,2.066865833525509e-16
A,0,0,independent_inputs,augmented_qbc,3,5.909141597866984e-16,4.468421559833016e-17,2.1707723999065846e-15,2.113457516009332e-15
A,0,0,independent_inputs,diversified_qbc,3,9.675822534014138e-17,4.468421559833016e-17,1.0371614257894175e-16,9.984237176494324e-17
A,0,0,independent_inputs,qbc,3,5.909141597866984e-16,4.468421559833016e-17,2.1707723999065846e-15,2.113457516009332e-15
A,0,0,independent_inputs,random,3,8.20503272288367e-17,4.468421559833016e-17,1.0371614257894175e-16,9.984237176494324e-17
A,0,0,independent_inputs,regularized_d_optimal,3,7.045063127173808e-14,4.468421559833016e-17,1.1975858599764204e-14,1.1674517434948928e-14
A,0,0,matched_marginal_shuffle,augmented_qbc,3,6.910314551968995e-14,4.3969492538097786e-17,1.7066945369054398e-13,1.7504069349407636e-13
A,0,0,matched_marginal_shuffle,diversified_qbc,3,6.910314551968995e-14,4.3969492538097786e-17,1.7066945369054398e-13,1.7504069349407636e-13
A,0,0,matched_marginal_shuffle,qbc,3,6.910314551968995e-14,4.3969492538097786e-17,1.7066945369054398e-13,1.7504069349407636e-13
A,0,0,matched_marginal_shuffle,random,3,1.2804735980728174e-16,4.3969492538097786e-17,1.5132304637584647e-16,1.4882439621466292e-16
A,0,0,matched_marginal_shuffle,regularized_d_optimal,3,1.50829734597214e-13,4.3969492538097786e-17,2.017026285885631e-16,2.012206207236101e-16
A,0,0,surface_restricted_queries,augmented_qbc,3,0.3772954425761014,0.14213665166603529,0.28902332582519197,7.31061890638302e-15
A,0,0,surface_restricted_queries,diversified_qbc,3,0.4127327276254927,0.14213665166603529,0.43077246602275704,9.420067034851853e-14
A,0,0,surface_restricted_queries,qbc,3,0.3772954425761014,0.14213665166603529,0.28902332582519197,7.31061890638302e-15
A,0,0,surface_restricted_queries,random,3,0.2502057028765345,0.14213665166603529,0.2849413663988525,2.1796024526514097e-15
A,0,0,surface_restricted_queries,regularized_d_optimal,3,0.31529476663563377,0.14213665166603529,0.4345856083967943,1.8571484880547253e-16
A,0,0.01,constrained,augmented_qbc,3,6.6697686260003195,0.14341928493101444,0.0019158370485101532,0.0009762915865739597
A,0,0.01,constrained,diversified_qbc,3,0.011847538282101618,0.14341928493101444,0.0024254255548911423,0.0014246676424989238
A,0,0.01,constrained,qbc,3,6.6688143458557585,0.14341928493101444,0.0031171511868614086,0.002252393393306693
A,0,0.01,constrained,random,3,0.03449382584182892,0.14341928493101444,0.017904951759066066,0.0015008264071103541
A,0,0.01,constrained,regularized_d_optimal,3,0.011841035650957484,0.14341928493101444,0.0019728356712253457,0.0017411066243623258
A,0,0.01,independent_inputs,augmented_qbc,3,0.002170783235432515,0.0010490818775875383,0.0022292936712678384,0.0022112203974199514
A,0,0.01,independent_inputs,diversified_qbc,3,0.0028570519777445665,0.0010490818775875383,0.001332223554174278,0.001319327034808399
A,0,0.01,independent_inputs,qbc,3,0.002170783235432515,0.0010490818775875383,0.0022292936712678384,0.0022112203974199514
A,0,0.01,independent_inputs,random,3,0.0030941648215114296,0.0010490818775875383,0.0030557532246445426,0.003072540796505948
A,0,0.01,independent_inputs,regularized_d_optimal,3,0.002070794457736186,0.0010490818775875383,0.0016883001459693872,0.001713489234023433
A,0,0.01,matched_marginal_shuffle,augmented_qbc,3,0.0014671387323646312,0.0012804449776119451,0.002006831998923912,0.0019737153622435967
A,0,0.01,matched_marginal_shuffle,diversified_qbc,3,0.0017400031591012926,0.0012804449776119451,0.0017486461325218847,0.001751486250421293
A,0,0.01,matched_marginal_shuffle,qbc,3,0.0014671387323646312,0.0012804449776119451,0.002006831998923912,0.0019737153622435967
A,0,0.01,matched_marginal_shuffle,random,3,0.006867790254329505,0.0012804449776119451,0.018222004072114228,0.00907259518061162
A,0,0.01,matched_marginal_shuffle,regularized_d_optimal,3,0.0015923203849098726,0.0012804449776119451,0.0015046442299811718,0.001479615973312911
A,0,0.01,surface_restricted_queries,augmented_qbc,3,0.14603233602149449,0.14819704305571738,0.0008465596470486734,0.0008751971346840694
A,0,0.01,surface_restricted_queries,diversified_qbc,3,0.33949038374821017,0.14819704305571738,0.8229802467163587,0.0020412680074999036
A,0,0.01,surface_restricted_queries,qbc,3,0.14603233602149449,0.14819704305571738,0.0008465596470486734,0.0008751971346840694
A,0,0.01,surface_restricted_queries,random,3,0.30908164612695693,0.14819704305571738,0.5610161122686127,0.0018524196689894466
A,0,0.01,surface_restricted_queries,regularized_d_optimal,3,0.26249783080856287,0.14819704305571738,0.458729528257143,0.0020495232294638274
A,0.01,0,constrained,augmented_qbc,3,1.8260501466762166e-12,2.9215587880059047e-11,1.0846197726902349e-16,1.230685276658979e-16
A,0.01,0,constrained,diversified_qbc,3,1.8451272645594086e-12,2.9215587880059047e-11,1.7148333557073206e-16,1.9403935210185015e-16
A,0.01,0,constrained,qbc,3,1.8451272645594086e-12,2.9215587880059047e-11,1.7148333557073206e-16,1.9403935210185015e-16
A,0.01,0,constrained,random,3,1.8260280546221957e-12,2.9215587880059047e-11,1.081592827050765e-16,1.1814795885808433e-16
A,0.01,0,constrained,regularized_d_optimal,3,1.8429661668274753e-12,2.9215587880059047e-11,1.019910645137314e-16,1.1547225543073291e-16
A,0.01,0.01,constrained,augmented_qbc,3,0.0032856856205325615,0.011779993969709164,0.0024002776424854196,0.002259748325801788
